students_passed,num_teachers,total_students,Total_budget,dropout_rate,avg_class_size,school_distance,district_label
775,29,1487,6207,0.13,51.28,6,Kicukiro
594,32,2155,10111,0.17,67.34,4,Kicukiro
515,39,814,17767,0.05,20.87,6,Kicukiro
349,43,1317,11542,0.22,30.63,1,Kicukiro
288,19,1858,10316,0.25,97.79,1,Kicukiro
937,10,1875,6786,0.24,187.5,7,Kicukiro
391,75,668,19997,0.29,8.91,8,Kicukiro
397,68,1426,7064,0.07,20.97,6,Kicukiro
947,25,2421,7730,0.09,96.84,7,Kicukiro
884,79,589,6124,0.27,7.46,4,Kicukiro
842,78,1859,5135,0.17,23.83,6,Kicukiro
728,93,513,18209,0.15,5.52,5,Kicukiro
747,50,577,12797,0.19,11.54,7,Kicukiro
977,86,2920,12578,0.16,33.95,9,Kicukiro
574,52,2396,9625,0.17,46.08,4,Kicukiro
706,75,1521,18636,0.07,20.28,8,Kicukiro
485,46,2405,10629,0.1,52.28,8,Kicukiro
719,82,2564,14894,0.16,31.27,1,Kicukiro
913,17,2903,10613,0.25,170.76,2,Kicukiro
844,97,2467,16808,0.24,25.43,9,Kicukiro
606,20,648,11972,0.15,32.4,7,Kicukiro
260,15,2350,8712,0.22,156.67,5,Kicukiro
734,42,2661,8583,0.19,63.36,4,Kicukiro
263,75,2562,16150,0.07,34.16,6,Kicukiro
972,48,2227,17830,0.28,46.4,7,Kicukiro
887,34,1205,5178,0.14,35.44,4,Kicukiro
662,32,2022,19965,0.14,63.19,5,Kicukiro
828,63,2458,12838,0.17,39.02,8,Kicukiro
372,20,590,19650,0.22,29.5,2,Kicukiro
235,62,710,8276,0.22,11.45,8,Kicukiro
342,23,1903,19766,0.27,82.74,4,Kicukiro
946,26,830,17784,0.1,31.92,9,Kicukiro
771,26,1822,7817,0.27,70.08,6,Kicukiro
673,21,1576,18294,0.23,75.05,9,Kicukiro
563,23,2034,9840,0.13,88.43,6,Kicukiro
324,41,2973,18318,0.2,72.51,4,Kicukiro
893,14,2528,5312,0.05,180.57,2,Kicukiro
968,37,960,17703,0.14,25.95,6,Kicukiro
369,20,1087,13867,0.11,54.35,4,Kicukiro
831,87,1089,13350,0.09,12.52,6,Kicukiro
476,67,1153,11576,0.26,17.21,8,Kicukiro
524,20,2825,18252,0.08,141.25,9,Kicukiro
427,43,859,5080,0.07,19.98,7,Kicukiro
492,62,2036,11481,0.14,32.84,3,Kicukiro
322,12,1566,12905,0.15,130.5,4,Kicukiro
582,80,581,16042,0.27,7.26,5,Kicukiro
964,37,520,13188,0.29,14.05,2,Kicukiro
925,84,2443,7209,0.08,29.08,5,Kicukiro
736,47,806,7927,0.26,17.15,7,Kicukiro
294,68,679,5277,0.19,9.99,1,Kicukiro
957,58,2294,8993,0.14,39.55,3,Kicukiro
437,59,1962,18749,0.06,33.25,7,Kicukiro
506,61,1272,16778,0.15,20.85,2,Kicukiro
575,19,1602,12221,0.25,84.32,9,Kicukiro
373,60,2130,6422,0.08,35.5,8,Kicukiro
530,24,2547,18225,0.26,106.12,6,Kicukiro
623,83,760,16996,0.23,9.16,4,Kicukiro
328,48,2486,16129,0.23,51.79,9,Kicukiro
945,59,2864,5491,0.18,48.54,3,Kicukiro
986,52,2478,12504,0.11,47.65,8,Kicukiro
757,19,726,9791,0.12,38.21,1,Kicukiro
383,24,1792,15216,0.27,74.67,9,Kicukiro
717,81,1628,9093,0.08,20.1,2,Kicukiro
975,82,903,8509,0.18,11.01,9,Kicukiro
880,51,1145,19519,0.07,22.45,9,Kicukiro
781,43,1971,16373,0.09,45.84,7,Kicukiro
965,11,1840,5128,0.26,167.27,7,Kicukiro
713,67,738,10134,0.11,11.01,4,Kicukiro
268,29,977,15211,0.09,33.69,7,Kicukiro
652,63,2725,5732,0.07,43.25,4,Kicukiro
601,87,981,16263,0.21,11.28,5,Kicukiro
519,37,2109,16680,0.13,57.0,4,Kicukiro
256,27,676,8485,0.16,25.04,1,Kicukiro
587,35,2168,7860,0.08,61.94,9,Kicukiro
762,10,1810,9200,0.05,181.0,6,Kicukiro
495,13,1753,5563,0.16,134.85,6,Kicukiro
500,69,2545,7042,0.27,36.88,9,Kicukiro
482,17,2424,14106,0.28,142.59,8,Kicukiro
825,85,2981,10104,0.22,35.07,7,Kicukiro
467,53,677,5521,0.14,12.77,8,Kicukiro
409,40,866,10042,0.15,21.65,9,Kicukiro
962,88,2372,16805,0.22,26.95,2,Kicukiro
423,10,1415,11671,0.14,141.5,9,Kicukiro
523,45,1467,10500,0.26,32.6,2,Kicukiro
732,51,1848,14359,0.23,36.24,8,Kicukiro
550,62,2424,7888,0.08,39.1,3,Kicukiro
614,56,582,8667,0.12,10.39,5,Kicukiro
858,32,1230,17695,0.17,38.44,4,Kicukiro
335,74,1874,12990,0.25,25.32,8,Kicukiro
438,74,1876,13129,0.27,25.35,2,Kicukiro
862,53,1399,14775,0.27,26.4,1,Kicukiro
845,18,1969,16337,0.16,109.39,9,Kicukiro
731,54,935,9121,0.17,17.31,7,Kicukiro
363,37,2361,12158,0.09,63.81,3,Kicukiro
768,88,512,9950,0.29,5.82,6,Kicukiro
386,56,2460,12801,0.08,43.93,5,Kicukiro
804,47,2657,12397,0.24,56.53,6,Kicukiro
204,27,2887,9419,0.14,106.93,7,Kicukiro
764,26,2999,7559,0.2,115.35,1,Kicukiro
648,53,1524,9503,0.29,28.75,9,Kicukiro
815,69,2689,18641,0.23,38.97,6,Kicukiro
617,12,2690,12866,0.18,224.17,9,Kicukiro
885,72,1470,12435,0.29,20.42,7,Kicukiro
867,70,1788,13948,0.22,25.54,3,Kicukiro
412,32,2518,18369,0.07,78.69,2,Kicukiro
538,66,929,14390,0.12,14.08,6,Kicukiro
588,28,1003,6732,0.16,35.82,8,Kicukiro
832,67,1463,6940,0.07,21.84,3,Kicukiro
293,65,2628,15455,0.12,40.43,3,Kicukiro
846,18,2348,16102,0.19,130.44,6,Kicukiro
682,82,2859,15518,0.18,34.87,8,Kicukiro
881,98,2069,5515,0.12,21.11,4,Kicukiro
498,95,570,15066,0.18,6.0,9,Kicukiro
389,30,603,13084,0.14,20.1,5,Kicukiro
736,51,2952,19591,0.25,57.88,8,Kicukiro
585,50,862,18712,0.12,17.24,2,Kicukiro
247,45,1277,9051,0.11,28.38,1,Kicukiro
275,32,2082,10866,0.14,65.06,8,Kicukiro
930,68,2556,14522,0.23,37.59,3,Kicukiro
525,94,984,12262,0.28,10.47,6,Kicukiro
866,36,1114,14192,0.16,30.94,3,Kicukiro
294,43,2039,13602,0.1,47.42,6,Kicukiro
856,72,1130,17653,0.11,15.69,6,Kicukiro
478,41,2058,12616,0.07,50.2,1,Kicukiro
615,97,2966,18010,0.09,30.58,4,Kicukiro
646,49,1258,8408,0.12,25.67,3,Kicukiro
257,64,2230,19709,0.08,34.84,1,Kicukiro
539,45,2110,8771,0.29,46.89,6,Kicukiro
580,98,2387,5242,0.19,24.36,6,Kicukiro
632,92,1370,19467,0.09,14.89,5,Kicukiro
413,96,2426,8031,0.25,25.27,6,Kicukiro
337,18,2851,15824,0.17,158.39,7,Kicukiro
886,25,2154,12586,0.17,86.16,2,Kicukiro
387,52,2024,6094,0.24,38.92,8,Kicukiro
888,77,2390,8619,0.06,31.04,9,Kicukiro
806,73,2919,12909,0.29,39.99,7,Kicukiro
546,29,2325,15325,0.3,80.17,1,Kicukiro
869,33,1559,10179,0.12,47.24,3,Kicukiro
606,73,2868,10614,0.1,39.29,4,Kicukiro
347,61,890,7488,0.22,14.59,8,Kicukiro
470,88,1715,11292,0.22,19.49,9,Kicukiro
349,49,2675,16041,0.24,54.59,3,Kicukiro
905,25,1473,16045,0.29,58.92,4,Kicukiro
608,42,2772,15904,0.12,66.0,1,Kicukiro
244,93,838,15025,0.11,9.01,9,Kicukiro
992,55,2733,19010,0.08,49.69,5,Kicukiro
288,57,1771,16129,0.26,31.07,7,Kicukiro
535,56,1224,5506,0.2,21.86,9,Kicukiro
631,18,972,18651,0.05,54.0,7,Kicukiro
557,17,566,12876,0.29,33.29,5,Kicukiro
524,30,2479,9448,0.11,82.63,1,Kicukiro
369,89,1418,15879,0.29,15.93,4,Kicukiro
698,99,2165,16634,0.17,21.87,8,Kicukiro
347,46,1619,7964,0.19,35.2,5,Kicukiro
588,88,2793,15651,0.12,31.74,9,Kicukiro
315,96,1545,12207,0.07,16.09,9,Kicukiro
926,70,1510,11481,0.06,21.57,2,Kicukiro
217,52,2901,16060,0.13,55.79,3,Kicukiro
619,58,2459,19168,0.06,42.4,1,Kicukiro
653,40,1984,18622,0.25,49.6,3,Kicukiro
877,71,2473,5193,0.08,34.83,5,Kicukiro
819,85,752,10349,0.3,8.85,2,Kicukiro
595,11,2143,6375,0.19,194.82,4,Kicukiro
776,48,2185,13570,0.26,45.52,1,Kicukiro
490,75,1666,5997,0.08,22.21,5,Kicukiro
937,16,2832,17522,0.12,177.0,3,Kicukiro
778,47,2023,12209,0.22,43.04,3,Kicukiro
512,25,2184,19916,0.15,87.36,2,Kicukiro
418,48,2912,17967,0.19,60.67,3,Kicukiro
256,56,1453,19052,0.1,25.95,7,Kicukiro
711,58,2933,16675,0.06,50.57,2,Kicukiro
601,89,545,6024,0.11,6.12,9,Kicukiro
710,97,1402,16111,0.2,14.45,1,Kicukiro
889,69,1026,12488,0.23,14.87,8,Kicukiro
832,75,2763,5473,0.23,36.84,1,Kicukiro
612,29,2031,10911,0.25,70.03,9,Kicukiro
742,37,1157,13229,0.21,31.27,7,Kicukiro
859,33,1937,8946,0.1,58.7,8,Kicukiro
284,43,1523,11138,0.17,35.42,3,Kicukiro
720,10,629,5243,0.17,62.9,8,Kicukiro
738,73,1218,8373,0.12,16.68,6,Kicukiro
513,78,2840,7831,0.09,36.41,2,Kicukiro
543,58,671,18024,0.16,11.57,3,Kicukiro
678,52,1375,16765,0.07,26.44,4,Kicukiro
509,93,2363,14487,0.24,25.41,5,Kicukiro
223,24,2100,11424,0.07,87.5,2,Kicukiro
938,32,1875,9349,0.05,58.59,4,Kicukiro
590,78,1430,11043,0.15,18.33,6,Kicukiro
347,34,2146,10106,0.22,63.12,3,Kicukiro
493,36,2218,6854,0.28,61.61,8,Kicukiro
671,82,930,5177,0.23,11.34,7,Kicukiro
522,69,1193,10769,0.3,17.29,2,Kicukiro
651,28,2607,5329,0.24,93.11,6,Kicukiro
425,67,2817,17276,0.15,42.04,6,Kicukiro
673,42,1632,16522,0.2,38.86,4,Kicukiro
474,83,964,7321,0.27,11.61,5,Kicukiro
844,10,552,6888,0.23,55.2,2,Kicukiro
274,28,686,13136,0.24,24.5,7,Kicukiro
720,11,1322,19894,0.25,120.18,6,Kicukiro
706,85,764,9514,0.2,8.99,5,Kicukiro
837,21,1826,13996,0.25,86.95,1,Kicukiro
270,20,2401,14084,0.18,120.05,1,Kicukiro
840,66,2777,18320,0.27,42.08,4,Kicukiro
814,88,1560,12906,0.18,17.73,8,Kicukiro
909,60,2907,13107,0.19,48.45,3,Kicukiro
334,37,1879,5967,0.14,50.78,7,Kicukiro
891,61,2508,19402,0.29,41.11,1,Kicukiro
390,43,2771,13998,0.15,64.44,8,Kicukiro
452,41,956,10626,0.13,23.32,9,Kicukiro
667,32,2540,12676,0.07,79.38,2,Kicukiro
516,21,2220,6388,0.23,105.71,8,Kicukiro
879,40,2742,16150,0.16,68.55,1,Kicukiro
232,63,2938,13017,0.26,46.63,6,Kicukiro
448,41,1066,10728,0.21,26.0,9,Kicukiro
547,22,1215,10343,0.15,55.23,5,Kicukiro
416,30,1173,8485,0.25,39.1,5,Kicukiro
541,83,2421,6159,0.09,29.17,3,Kicukiro
997,78,2858,17094,0.18,36.64,7,Kicukiro
754,98,955,12730,0.06,9.74,1,Kicukiro
275,38,2703,10683,0.25,71.13,6,Kicukiro
854,25,2848,5713,0.09,113.92,9,Kicukiro
565,34,1167,14476,0.11,34.32,7,Kicukiro
888,14,2786,8894,0.21,199.0,4,Kicukiro
954,49,1792,15928,0.22,36.57,3,Kicukiro
222,96,1374,19544,0.12,14.31,6,Kicukiro
216,34,2738,17430,0.16,80.53,1,Kicukiro
602,13,915,10886,0.08,70.38,1,Kicukiro
621,96,862,12906,0.21,8.98,6,Kicukiro
817,22,2425,19323,0.16,110.23,8,Kicukiro
443,58,580,11812,0.16,10.0,4,Kicukiro
929,84,2586,13060,0.27,30.79,8,Kicukiro
975,92,2221,5993,0.18,24.14,9,Kicukiro
243,95,2174,6340,0.09,22.88,2,Kicukiro
369,14,1560,8344,0.12,111.43,3,Kicukiro
266,24,1496,12128,0.22,62.33,6,Kicukiro
559,17,2780,8690,0.14,163.53,8,Kicukiro
832,73,2868,19146,0.29,39.29,6,Kicukiro
276,95,2465,13423,0.15,25.95,2,Kicukiro
833,25,2737,16834,0.14,109.48,3,Kicukiro
855,42,839,6077,0.14,19.98,2,Kicukiro
430,19,2029,10581,0.07,106.79,5,Kicukiro
720,21,2461,6008,0.14,117.19,2,Kicukiro
277,17,2322,10253,0.19,136.59,4,Kicukiro
416,96,2162,13311,0.26,22.52,6,Kicukiro
348,91,1993,17258,0.14,21.9,6,Kicukiro
281,92,1659,9796,0.22,18.03,8,Kicukiro
581,85,2197,9091,0.06,25.85,4,Kicukiro
791,61,684,19365,0.28,11.21,5,Kicukiro
243,10,1987,18878,0.23,198.7,5,Kicukiro
624,49,2717,13548,0.06,55.45,7,Kicukiro
693,24,1425,7300,0.19,59.38,2,Kicukiro
327,47,1677,16165,0.1,35.68,6,Kicukiro
461,22,817,9790,0.29,37.14,1,Kicukiro
666,81,1904,17223,0.28,23.51,6,Kicukiro
963,94,1330,8596,0.29,14.15,2,Kicukiro
500,39,2653,6945,0.1,68.03,6,Kicukiro
244,51,1931,7080,0.11,37.86,9,Kicukiro
963,68,1519,17411,0.24,22.34,6,Kicukiro
473,60,724,15188,0.23,12.07,4,Kicukiro
876,89,2086,6070,0.27,23.44,6,Kicukiro
255,53,1865,5899,0.22,35.19,4,Kicukiro
708,10,2263,9149,0.29,226.3,6,Kicukiro
416,84,754,16865,0.19,8.98,1,Kicukiro
617,53,995,11782,0.06,18.77,5,Kicukiro
608,93,1852,7191,0.26,19.91,2,Kicukiro
613,60,2381,10580,0.24,39.68,8,Kicukiro
905,19,1429,13119,0.1,75.21,4,Kicukiro
556,24,2033,9002,0.08,84.71,3,Kicukiro
263,18,2308,5937,0.16,128.22,5,Kicukiro
352,36,2237,18274,0.23,62.14,8,Kicukiro
677,45,1667,12226,0.13,37.04,1,Kicukiro
979,56,2707,6320,0.12,48.34,5,Kicukiro
857,38,1596,16251,0.23,42.0,7,Kicukiro
897,98,2006,8272,0.28,20.47,9,Kicukiro
948,40,2960,14651,0.2,74.0,1,Kicukiro
378,36,2581,10939,0.11,71.69,8,Kicukiro
818,29,2614,14637,0.24,90.14,8,Kicukiro
354,27,1719,14864,0.06,63.67,3,Kicukiro
878,81,1818,15105,0.29,22.44,2,Kicukiro
790,34,2989,11913,0.27,87.91,5,Kicukiro
316,36,708,9340,0.23,19.67,6,Kicukiro
689,11,2991,18862,0.15,271.91,3,Kicukiro
879,23,2764,16318,0.27,120.17,7,Kicukiro
967,17,2881,10621,0.3,169.47,5,Kicukiro
525,39,1306,12459,0.22,33.49,6,Kicukiro
350,71,1220,7556,0.19,17.18,6,Kicukiro
847,34,1835,5973,0.25,53.97,2,Kicukiro
943,96,996,10247,0.27,10.38,4,Kicukiro
717,10,2705,5699,0.12,270.5,5,Kicukiro
962,20,1715,15963,0.19,85.75,4,Kicukiro
673,51,663,19990,0.14,13.0,4,Kicukiro
329,20,951,7915,0.09,47.55,1,Kicukiro
759,95,2280,9286,0.15,24.0,6,Kicukiro
313,21,2670,11277,0.12,127.14,2,Kicukiro
303,85,1984,9238,0.07,23.34,4,Kicukiro
850,81,963,11084,0.08,11.89,3,Kicukiro
590,58,1138,16238,0.22,19.62,3,Kicukiro
283,96,1889,17622,0.21,19.68,6,Kicukiro
315,14,2035,6416,0.21,145.36,3,Kicukiro
533,72,2332,5481,0.13,32.39,1,Kicukiro
298,57,2457,14460,0.14,43.11,4,Kicukiro
328,77,2591,8383,0.08,33.65,9,Kicukiro
802,46,1564,13103,0.07,34.0,2,Kicukiro
706,11,1204,8113,0.06,109.45,1,Kicukiro
543,15,1088,8238,0.08,72.53,3,Kicukiro
384,26,2818,8822,0.19,108.38,2,Gasabo
968,66,1400,5512,0.24,21.21,4,Kicukiro
503,18,2551,7035,0.23,141.72,7,Kicukiro
742,14,754,10350,0.12,53.86,3,Kicukiro
544,93,944,13677,0.27,10.15,6,Kicukiro
899,92,1842,5929,0.08,20.02,4,Kicukiro
356,57,1382,17946,0.19,24.25,6,Kicukiro
360,91,1216,16689,0.23,13.36,4,Kicukiro
409,90,2380,5849,0.2,26.44,7,Kicukiro
497,46,652,14715,0.11,14.17,2,Kicukiro
826,94,1025,14890,0.08,10.9,2,Kicukiro
941,26,1147,6108,0.11,44.12,5,Kicukiro
690,75,931,19375,0.08,12.41,6,Kicukiro
551,18,647,8235,0.21,35.94,5,Kicukiro
565,22,2657,15322,0.06,120.77,9,Kicukiro
608,11,2470,12429,0.3,224.55,5,Kicukiro
363,83,632,11030,0.19,7.61,5,Kicukiro
783,20,1054,18750,0.24,52.7,9,Kicukiro
747,33,2465,5817,0.14,74.7,9,Kicukiro
714,28,1134,8490,0.23,40.5,2,Kicukiro
395,99,836,5059,0.13,8.44,6,Kicukiro
283,29,2884,9162,0.19,99.45,4,Kicukiro
712,42,2066,11010,0.21,49.19,7,Kicukiro
267,98,911,12051,0.2,9.3,6,Kicukiro
454,38,2868,16897,0.27,75.47,6,Kicukiro
766,82,1186,17969,0.09,14.46,6,Kicukiro
823,48,1741,16115,0.17,36.27,5,Kicukiro
589,36,2091,10623,0.23,58.08,6,Kicukiro
742,98,1086,15561,0.23,11.08,8,Kicukiro
661,77,1418,12939,0.19,18.42,5,Kicukiro
643,51,2703,15838,0.22,53.0,2,Kicukiro
324,40,2380,10230,0.23,59.5,4,Kicukiro
562,47,2811,15395,0.23,59.81,8,Kicukiro
672,38,1708,13771,0.16,44.95,7,Kicukiro
883,22,2438,14958,0.25,110.82,2,Kicukiro
359,50,2173,5272,0.21,43.46,2,Kicukiro
528,53,1081,11198,0.21,20.4,9,Kicukiro
256,97,1936,5998,0.3,19.96,8,Kicukiro
559,85,793,14835,0.24,9.33,9,Kicukiro
629,13,995,13756,0.29,76.54,3,Kicukiro
514,48,1168,10112,0.18,24.33,2,Kicukiro
395,27,2270,14830,0.06,84.07,6,Kicukiro
983,95,1399,9653,0.14,14.73,7,Kicukiro
878,72,1921,9640,0.12,26.68,3,Kicukiro
480,63,1408,6073,0.16,22.35,6,Kicukiro
246,76,903,5019,0.17,11.88,1,Kicukiro
241,58,2429,16021,0.12,41.88,5,Kicukiro
659,60,2842,14656,0.09,47.37,3,Kicukiro
621,79,2470,8444,0.17,31.27,8,Kicukiro
249,58,1897,19422,0.07,32.71,1,Kicukiro
346,12,2134,8293,0.05,177.83,3,Kicukiro
378,41,2868,10260,0.15,69.95,2,Kicukiro
612,81,708,6854,0.1,8.74,7,Kicukiro
930,87,1211,17788,0.14,13.92,4,Kicukiro
619,39,2951,12885,0.11,75.67,7,Kicukiro
683,28,2331,5470,0.2,83.25,2,Kicukiro
722,91,2174,16374,0.16,23.89,3,Kicukiro
977,15,2924,8089,0.29,194.93,8,Kicukiro
280,66,2030,14272,0.11,30.76,2,Kicukiro
273,41,1652,10073,0.27,40.29,7,Kicukiro
418,81,2288,18383,0.23,28.25,7,Kicukiro
676,43,2516,12889,0.27,58.51,3,Kicukiro
220,68,811,18854,0.19,11.93,8,Kicukiro
960,10,1256,19337,0.21,125.6,7,Kicukiro
354,88,914,16711,0.09,10.39,2,Kicukiro
668,52,903,16259,0.28,17.37,4,Kicukiro
354,19,1896,8443,0.08,99.79,7,Kicukiro
416,80,1182,14286,0.07,14.78,1,Kicukiro
574,49,1451,18602,0.13,29.61,9,Kicukiro
425,16,2240,10595,0.13,140.0,8,Nyarugenge
966,28,2780,7748,0.27,99.29,2,Kicukiro
211,32,2932,13704,0.09,91.62,1,Kicukiro
295,60,511,9334,0.16,8.52,2,Kicukiro
361,27,1876,11841,0.24,69.48,9,Kicukiro
350,74,2383,12994,0.06,32.2,9,Kicukiro
940,79,2399,12456,0.08,30.37,6,Kicukiro
565,97,1411,18540,0.07,14.55,2,Kicukiro
703,63,2983,5684,0.18,47.35,3,Kicukiro
975,10,2544,18851,0.2,254.4,8,Kicukiro
703,99,1448,17122,0.14,14.63,5,Kicukiro
410,39,2876,9464,0.07,73.74,8,Kicukiro
677,39,1302,14170,0.07,33.38,1,Kicukiro
461,83,1961,7191,0.16,23.63,4,Kicukiro
660,93,2129,6507,0.15,22.89,5,Kicukiro
317,61,825,14092,0.14,13.52,6,Kicukiro
339,14,971,13400,0.22,69.36,1,Kicukiro
992,63,686,14877,0.16,10.89,5,Kicukiro
976,92,1638,19944,0.24,17.8,2,Kicukiro
355,31,2717,12240,0.19,87.65,6,Kicukiro
896,11,2964,10420,0.15,269.45,1,Kicukiro
898,13,1536,14802,0.07,118.15,2,Kicukiro
827,66,510,11417,0.09,7.73,3,Kicukiro
879,67,2283,17763,0.11,34.07,9,Kicukiro
963,55,1151,16046,0.24,20.93,5,Kicukiro
874,71,840,14750,0.13,11.83,5,Kicukiro
844,87,1639,7451,0.16,18.84,4,Kicukiro
473,56,1249,8331,0.05,22.3,6,Kicukiro
489,28,845,17378,0.07,30.18,5,Kicukiro
324,78,2218,16101,0.18,28.44,4,Kicukiro
258,76,2009,8552,0.07,26.43,4,Kicukiro
476,74,2656,11139,0.12,35.89,9,Kicukiro
880,15,2323,11999,0.3,154.87,1,Kicukiro
413,72,913,13585,0.17,12.68,6,Kicukiro
700,74,889,12459,0.05,12.01,2,Kicukiro
525,59,2351,14283,0.21,39.85,9,Kicukiro
272,71,2844,14307,0.14,40.06,4,Kicukiro
336,53,2065,18924,0.1,38.96,8,Kicukiro
519,38,2152,10410,0.14,56.63,3,Kicukiro
404,66,2872,6172,0.18,43.52,1,Kicukiro
708,24,2139,7593,0.16,89.12,5,Kicukiro
375,32,1753,17405,0.05,54.78,3,Kicukiro
496,40,2868,8673,0.09,71.7,4,Nyarugenge
712,34,1565,10764,0.1,46.03,6,Kicukiro
807,66,907,11127,0.19,13.74,8,Kicukiro
381,80,2518,16611,0.18,31.48,7,Kicukiro
847,19,2326,15836,0.25,122.42,5,Kicukiro
349,45,1153,13832,0.21,25.62,8,Kicukiro
986,39,1933,9538,0.27,49.56,7,Kicukiro
896,66,1809,10062,0.1,27.41,6,Kicukiro
765,87,2412,11983,0.2,27.72,6,Kicukiro
905,61,2442,18896,0.28,40.03,9,Kicukiro
523,18,1883,13091,0.25,104.61,1,Kicukiro
562,18,2566,17981,0.24,142.56,8,Kicukiro
244,37,1012,11302,0.19,27.35,1,Kicukiro
719,49,2269,11325,0.29,46.31,4,Kicukiro
587,25,1407,17903,0.2,56.28,9,Kicukiro
568,16,2499,7463,0.14,156.19,3,Kicukiro
336,90,2558,14275,0.19,28.42,4,Kicukiro
595,47,1837,10402,0.21,39.09,2,Kicukiro
424,75,2555,12213,0.19,34.07,1,Kicukiro
935,11,1097,6181,0.17,99.73,6,Kicukiro
369,46,920,5826,0.17,20.0,4,Kicukiro
226,16,2341,6945,0.2,146.31,9,Kicukiro
938,35,1438,10737,0.26,41.09,6,Kicukiro
295,13,2603,18485,0.22,200.23,2,Kicukiro
343,67,2206,6250,0.07,32.93,5,Kicukiro
426,95,2671,16772,0.24,28.12,4,Kicukiro
345,58,1205,10306,0.14,20.78,8,Kicukiro
758,89,838,11899,0.14,9.42,3,Kicukiro
279,73,2861,12012,0.1,39.19,4,Kicukiro
894,97,577,5587,0.24,5.95,9,Kicukiro
928,51,2986,14892,0.09,58.55,7,Kicukiro
917,51,2179,8417,0.26,42.73,2,Kicukiro
959,35,2901,19485,0.21,82.89,4,Kicukiro
510,76,2818,19213,0.09,37.08,1,Kicukiro
350,86,2246,11147,0.16,26.12,7,Kicukiro
804,23,1619,15898,0.26,70.39,8,Kicukiro
320,31,1589,7755,0.13,51.26,3,Kicukiro
268,29,2735,16047,0.08,94.31,3,Kicukiro
471,35,925,5856,0.06,26.43,9,Kicukiro
821,57,2080,7224,0.25,36.49,1,Kicukiro
915,12,1832,14521,0.08,152.67,5,Kicukiro
